time_in,time_out,side,tag,entry,sl,tp,exit,lots,pnl,r,reason,mae_r,equity_after
2012-05-24 09:45:00,2012-05-24 11:00:00,BUY,SweepEQL,1561.5,1553.14,1590.98,1553.14,0.12,-101.21,-1.008,SL,1.1,9898.79
2012-05-30 12:30:00,2012-05-30 16:15:00,BUY,SweepEQL,1550.51,1544.85,1582.77,1544.85,0.17,-97.48,-1.012,SL,1.65,9801.3
2012-06-14 16:30:00,2012-06-15 15:15:00,SELL,SweepEQH,1613.16,1628.99,1565.41,1628.99,0.06,-95.39,-1.004,SL,1.29,9705.91
2012-06-18 09:30:00,2012-06-18 12:00:00,SELL,SweepEQH,1619.69,1625.37,1602.62,1625.37,0.17,-97.67,-1.012,SL,1.14,9608.24
2012-06-21 02:15:00,2012-06-28 07:15:00,SELL,SweepEQH,1602.96,1621.61,1544.92,1575.62,0.05,136.35,1.462,time_stop,0.09,9744.59
2012-07-05 14:45:00,2012-07-06 19:00:00,SELL,SweepEQH,1614.75,1624.76,1578.68,1578.68,0.1,360.0,3.597,TP,0.19,10104.59
2012-07-11 01:15:00,2012-07-12 10:15:00,BUY,SweepEQL,1569.02,1566.36,1587.1,1566.36,0.38,-103.62,-1.026,SL,1.68,10000.97
2012-07-19 15:45:00,2012-07-25 13:45:00,SELL,SweepEQH,1583.51,1592.37,1554.94,1592.37,0.11,-98.19,-1.008,SL,1.08,9902.78
2012-07-27 15:30:00,2012-08-03 20:30:00,SELL,SweepEQH,1618.71,1630.35,1580.29,1605.89,0.09,114.75,1.095,time_stop,0.8,10017.53
2012-08-07 12:30:00,2012-08-07 15:45:00,SELL,SweepEQH,1612.07,1616.82,1596.41,1616.82,0.21,-101.21,-1.015,SL,1.3,9916.32
2012-08-07 16:15:00,2012-08-10 16:15:00,SELL,SweepEQH,1611.24,1618.82,1585.58,1618.82,0.13,-99.5,-1.009,SL,1.25,9816.81
2012-08-13 03:45:00,2012-08-13 05:15:00,SELL,SweepEQH,1619.43,1622.05,1605.46,1622.05,0.37,-99.68,-1.027,SL,1.23,9717.13
2012-08-13 14:45:00,2012-08-14 15:30:00,SELL,SweepEQH,1621.59,1626.1,1605.46,1605.46,0.22,353.32,3.563,TP,0.32,10070.45
2012-08-16 05:45:00,2012-08-16 15:30:00,SELL,SweepEQH,1604.48,1607.01,1592.36,1607.01,0.4,-103.99,-1.028,SL,1.7,9966.46
2012-08-24 02:45:00,2012-08-24 18:15:00,SELL,SweepEQH,1668.1,1671.16,1657.17,1671.16,0.33,-103.27,-1.023,SL,1.44,9863.19
2012-08-24 18:15:00,2012-08-24 20:00:00,SELL,SweepEQH,1664.43,1673.41,1634.22,1673.41,0.11,-99.51,-1.008,SL,1.01,9763.69
2012-08-31 16:45:00,2012-08-31 17:15:00,SELL,SweepEQH,1656.63,1664.31,1634.22,1664.31,0.13,-100.73,-1.009,SL,1.93,9662.96
2012-09-11 18:45:00,2012-09-12 10:45:00,SELL,SweepEQH,1731.41,1738.82,1689.7,1738.82,0.13,-97.18,-1.009,SL,1.07,9565.78
2012-09-20 05:30:00,2012-09-21 03:30:00,SELL,SweepEQH,1768.27,1772.63,1755.09,1772.63,0.22,-97.53,-1.016,SL,1.07,9468.26
2012-09-21 14:15:00,2012-09-21 15:15:00,SELL,SweepEQH,1772.32,1776.71,1755.22,1776.71,0.22,-98.04,-1.016,SL,1.46,9370.21
2012-09-25 10:15:00,2012-09-25 19:15:00,BUY,SweepEQL,1766.52,1761.42,1785.95,1761.42,0.18,-92.99,-1.014,SL,1.14,9277.23
2012-10-11 05:00:00,2012-10-12 20:15:00,BUY,SweepEQL,1762.83,1758.06,1776.07,1758.06,0.19,-91.89,-1.015,SL,1.14,9185.34
2012-10-15 10:15:00,2012-10-15 15:15:00,BUY,SweepEQL,1748.85,1741.75,1773.26,1741.75,0.13,-93.21,-1.01,SL,1.07,9092.13
2012-10-15 19:30:00,2012-10-19 18:15:00,BUY,SweepEQL,1738.12,1727.5,1773.26,1727.5,0.09,-96.25,-1.007,SL,1.15,8995.88
2012-10-24 15:45:00,2012-10-24 17:00:00,BUY,SweepEQL,1711.0,1705.05,1727.64,1705.05,0.15,-90.24,-1.012,SL,1.09,8905.64
2012-10-29 08:00:00,2012-10-29 09:15:00,BUY,SweepEQL,1717.25,1712.21,1736.81,1712.21,0.18,-91.99,-1.014,SL,1.01,8813.65
2012-11-01 20:45:00,2012-11-01 21:45:00,BUY,SweepEQL,1717.04,1714.39,1726.98,1714.39,0.33,-89.92,-1.026,SL,1.24,8723.74
2012-11-05 12:45:00,2012-11-06 19:15:00,BUY,SweepEQL,1680.73,1671.92,1708.39,1708.39,0.1,275.9,3.132,TP,0.32,8999.64
2012-11-07 10:00:00,2012-11-07 12:15:00,SELL,SweepEQH,1723.49,1730.27,1694.45,1730.27,0.13,-89.03,-1.01,SL,1.21,8910.61
2012-11-12 15:15:00,2012-11-13 03:00:00,SELL,SweepEQH,1734.57,1738.44,1721.65,1721.65,0.23,295.55,3.324,TP,0.49,9206.16
2012-11-14 17:30:00,2012-11-14 18:30:00,SELL,SweepEQH,1722.73,1731.87,1688.42,1731.87,0.1,-92.12,-1.008,SL,1.1,9114.04
2012-11-16 11:00:00,2012-11-16 16:45:00,SELL,SweepEQH,1711.4,1716.64,1688.42,1716.64,0.17,-90.23,-1.013,SL,1.06,9023.81
2012-11-19 21:45:00,2012-11-23 17:00:00,SELL,SweepEQH,1731.15,1735.87,1716.03,1735.87,0.19,-91.04,-1.015,SL,1.09,8932.77
